"","stock","clust"
"1","AAP",5
"2","ADM",8
"3","AFL",14
"4","ALK",16
"5","ALLE",14
"6","AMG",13
"7","APD",7
"8","APH",10
"9","ATVI",1
"10","AWK",12
"11","BBY",5
"12","BLL",1
"13","CA",14
"14","CB",16
"15","CBG",7
"16","CBOE",7
"17","CBS",16
"18","CERN",1
"19","CF",5
"20","CL",1
"21","CNC",1
"22","COL",5
"23","COST",16
"24","COTY",1
"25","CSCO",14
"26","CSX",5
"27","CTAS",7
"28","CVS",1
"29","DE",5
"30","DGX",7
"31","DLPH",13
"32","DPS",9
"33","DRI",5
"34","EBAY",2
"35","ED",11
"36","EMN",10
"37","EMR",5
"38","EQIX",1
"39","ETFC",5
"40","EXPD",7
"41","EXPE",6
"42","F",7
"43","FCX",10
"44","FLIR",10
"45","FOX",10
"46","FTV",10
"47","GRMN",12
"48","GT",4
"49","HAL",16
"50","HAS",6
"51","HBAN",5
"52","HCN",1
"53","HES",7
"54","HLT",9
"55","HOG",10
"56","HOLX",9
"57","HP",7
"58","HRB",4
"59","HSIC",3
"60","HST",16
"61","IBM",5
"62","ILMN",1
"63","INCY",10
"64","INFO",1
"65","IPG",12
"66","JBHT",5
"67","JWN",6
"68","KLAC",12
"69","KR",5
"70","LB",2
"71","LEG",5
"72","LKQ",2
"73","LNC",5
"74","LOW",13
"75","LUK",7
"76","LVLT",10
"77","MGM",5
"78","MKC",1
"79","MMM",7
"80","MPC",16
"81","NEM",11
"82","NRG",9
"83","NUE",5
"84","NVDA",5
"85","NWL",1
"86","O",1
"87","ORLY",4
"88","PBCT",5
"89","PCAR",7
"90","PFE",14
"91","PHM",2
"92","PLD",4
"93","PM",1
"94","PPG",13
"95","PWR",5
"96","PXD",4
"97","PYPL",11
"98","Q",13
"99","RE",10
"100","RHI",5
"101","SEE",10
"102","SLG",13
"103","SNA",5
"104","SNI",5
"105","SP500",7
"106","SRE",1
"107","STZ",1
"108","SYMC",1
"109","SYY",5
"110","TAP",1
"111","TEL",5
"112","TGT",12
"113","UA",2
"114","UDR",8
"115","UHS",6
"116","URI",5
"117","USB",5
"118","VMC",10
"119","VZ",9
"120","WDC",16
"121","WLTW",2
"122","WM",5
"123","WMB",15
"124","XRAY",3
