"","stock","clust"
"1","AAP",1
"2","ADM",4
"3","AFL",4
"4","ALK",3
"5","ALLE",4
"6","AMG",3
"7","APD",1
"8","APH",4
"9","ATVI",4
"10","AWK",4
"11","BBY",4
"12","BLL",1
"13","CA",2
"14","CB",4
"15","CBG",4
"16","CBOE",4
"17","CBS",4
"18","CERN",4
"19","CF",1
"20","CL",4
"21","CNC",4
"22","COL",4
"23","COST",3
"24","COTY",1
"25","CSCO",4
"26","CSX",3
"27","CTAS",4
"28","CVS",2
"29","DE",3
"30","DGX",4
"31","DLPH",4
"32","DPS",4
"33","DRI",4
"34","EBAY",4
"35","ED",4
"36","EMN",3
"37","EMR",3
"38","EQIX",4
"39","ETFC",1
"40","EXPD",4
"41","EXPE",4
"42","F",1
"43","FCX",1
"44","FLIR",4
"45","FOX",4
"46","FTV",4
"47","GRMN",4
"48","GT",4
"49","HAL",1
"50","HAS",4
"51","HBAN",3
"52","HCN",4
"53","HES",1
"54","HLT",2
"55","HOG",4
"56","HOLX",4
"57","HP",1
"58","HRB",2
"59","HSIC",4
"60","HST",2
"61","IBM",3
"62","ILMN",4
"63","INCY",4
"64","INFO",4
"65","IPG",4
"66","JBHT",1
"67","JWN",2
"68","KLAC",4
"69","KR",1
"70","LB",1
"71","LEG",4
"72","LKQ",1
"73","LNC",3
"74","LOW",4
"75","LUK",4
"76","LVLT",1
"77","MGM",1
"78","MKC",4
"79","MMM",4
"80","MPC",2
"81","NEM",1
"82","NRG",4
"83","NUE",3
"84","NVDA",1
"85","NWL",4
"86","O",3
"87","ORLY",2
"88","PBCT",1
"89","PCAR",3
"90","PFE",4
"91","PHM",4
"92","PLD",2
"93","PM",4
"94","PPG",4
"95","PWR",3
"96","PXD",3
"97","PYPL",4
"98","Q",4
"99","RE",4
"100","RHI",2
"101","SEE",1
"102","SLG",3
"103","SNA",1
"104","SNI",4
"105","SP500",4
"106","SRE",4
"107","STZ",4
"108","SYMC",4
"109","SYY",2
"110","TAP",3
"111","TEL",3
"112","TGT",1
"113","UA",1
"114","UDR",2
"115","UHS",4
"116","URI",3
"117","USB",3
"118","VMC",1
"119","VZ",2
"120","WDC",4
"121","WLTW",4
"122","WM",4
"123","WMB",2
"124","XRAY",4
