Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.486381,0.493587,0.486381,0.486381,0.186883,10200
1980-03-18,0.486381,0.489984,0.482778,0.482778,0.185498,51900
1980-03-19,0.482778,0.482778,0.482778,0.482778,0.185498,27700
1980-03-20,0.482778,0.482778,0.482778,0.482778,0.185498,20800
1980-03-21,0.475573,0.475573,0.461162,0.461162,0.177192,169800
1980-03-24,0.461162,0.468367,0.461162,0.461162,0.177192,135100
1980-03-25,0.461162,0.461162,0.461162,0.461162,0.177192,183700
1980-03-26,0.461162,0.461162,0.454406,0.454406,0.174597,62400
1980-03-27,0.454406,0.454406,0.439994,0.439994,0.169059,155900
1980-03-28,0.447200,0.457559,0.447200,0.447200,0.171828,149000
1980-03-31,0.447200,0.457559,0.447200,0.450353,0.173039,90200
1980-04-01,0.447200,0.447200,0.439994,0.439994,0.169059,38000
1980-04-02,0.439994,0.447200,0.439994,0.447200,0.171828,83200
1980-04-03,0.447200,0.447200,0.435942,0.435942,0.167502,83200
1980-04-07,0.435942,0.443147,0.435942,0.439994,0.169059,86600
1980-04-08,0.439994,0.443147,0.435942,0.443147,0.170271,104000
1980-04-09,0.450353,0.450353,0.450353,0.450353,0.173039,20800
1980-04-10,0.457559,0.461162,0.457559,0.461162,0.177192,48500
1980-04-11,0.461162,0.468367,0.461162,0.468367,0.179961,34600
1980-04-14,0.464764,0.464764,0.461162,0.461162,0.177192,27700
1980-04-15,0.461162,0.461162,0.461162,0.461162,0.177192,31000
1980-04-16,0.461162,0.461162,0.457559,0.457559,0.175808,142100
1980-04-17,0.461162,0.461162,0.461162,0.461162,0.177192,79600
1980-04-18,0.461162,0.468367,0.461162,0.461162,0.177192,10200
1980-04-21,0.454406,0.454406,0.454406,0.454406,0.174597,17200
1980-04-22,0.457559,0.457559,0.457559,0.457559,0.175808,34600
1980-04-23,0.461162,0.464764,0.461162,0.464764,0.178577,155900
1980-04-24,0.464764,0.468367,0.461162,0.461162,0.177192,20800
1980-04-25,0.461162,0.468367,0.461162,0.461162,0.177192,13800
1980-04-28,0.457559,0.457559,0.443147,0.443147,0.170271,135100
1980-04-29,0.447200,0.447200,0.447200,0.447200,0.171828,48500
1980-04-30,0.443147,0.443147,0.439994,0.443147,0.170271,38000
1980-05-01,0.447200,0.461162,0.447200,0.461162,0.177192,114300
1980-05-02,0.461162,0.464764,0.454406,0.464764,0.178577,104000
1980-05-05,0.464764,0.468367,0.464764,0.464764,0.178577,48500
1980-05-06,0.468367,0.468367,0.468367,0.468367,0.179961,100400
1980-05-07,0.468367,0.468367,0.461162,0.468367,0.179961,31000
1980-05-08,0.468367,0.479176,0.468367,0.479176,0.184114,44900
1980-05-09,0.479176,0.482778,0.475573,0.482778,0.185498,44900
1980-05-12,0.475573,0.475573,0.475573,0.475573,0.182730,10200
1980-05-13,0.475573,0.479176,0.461162,0.464764,0.178577,79600
1980-05-14,0.464764,0.471970,0.464764,0.471970,0.181345,10200
1980-05-15,0.468367,0.468367,0.461162,0.468367,0.179961,62400
1980-05-16,0.475573,0.482778,0.475573,0.482778,0.185498,6900
1980-05-19,0.482778,0.482778,0.464764,0.482778,0.185498,62400
1980-05-20,0.482778,0.482778,0.479176,0.482778,0.185498,13800
1980-05-21,0.482778,0.486381,0.471970,0.471970,0.181345,41600
1980-05-22,0.479176,0.486381,0.479176,0.479176,0.184114,34600
1980-05-23,0.486381,0.497190,0.486381,0.497190,0.191036,135100
1980-05-27,0.497190,0.504845,0.489984,0.489984,0.188267,62400
1980-05-28,0.489984,0.511601,0.489984,0.511601,0.196573,48500
1980-05-29,0.511601,0.515654,0.500793,0.500793,0.192420,97100
1980-05-30,0.500793,0.500793,0.500793,0.500793,0.192420,13800
1980-06-02,0.507998,0.515654,0.507998,0.515654,0.198130,38000
1980-06-03,0.522410,0.547629,0.522410,0.547629,0.210416,100400
1980-06-04,0.540424,0.540424,0.540424,0.540424,0.207647,51900
1980-06-05,0.547629,0.554835,0.547629,0.547629,0.210416,183700
1980-06-06,0.547629,0.547629,0.547629,0.547629,0.210416,86600
1980-06-09,0.547629,0.547629,0.547629,0.547629,0.210416,72700
1980-06-10,0.547629,0.547629,0.547629,0.547629,0.210416,34600
1980-06-11,0.547629,0.547629,0.547629,0.547629,0.210416,58800
1980-06-12,0.551232,0.580055,0.551232,0.576902,0.221663,298300
1980-06-13,0.576902,0.580055,0.573299,0.573299,0.220279,149000
1980-06-16,0.576902,0.580055,0.576902,0.580055,0.222875,169800
1980-06-17,0.580055,0.583658,0.580055,0.583658,0.224259,513400
1980-06-18,0.583658,0.598069,0.580055,0.594466,0.228412,86600
1980-06-19,0.587260,0.587260,0.576902,0.583658,0.224259,41600
1980-06-20,0.583658,0.591313,0.583658,0.583658,0.224259,454300
1980-06-23,0.583658,0.591313,0.580055,0.591313,0.227201,246200
1980-06-24,0.591313,0.591313,0.580055,0.583658,0.224259,409400
1980-06-25,0.583658,0.587260,0.580055,0.587260,0.225643,301700
1980-06-26,0.587260,0.598069,0.587260,0.591313,0.227201,204500
1980-06-27,0.591313,0.591313,0.580055,0.583658,0.224259,83200
1980-06-30,0.583658,0.583658,0.565643,0.583658,0.224259,124900
1980-07-01,0.583658,0.583658,0.576902,0.580055,0.222875,121300
1980-07-02,0.591313,0.598069,0.591313,0.598069,0.229796,384900
1980-07-03,0.602121,0.612480,0.602121,0.612480,0.235334,291400
1980-07-07,0.612480,0.612480,0.604822,0.608877,0.233949,253100
1980-07-08,0.620135,0.637700,0.620135,0.634547,0.243813,988600
1980-07-09,0.641752,0.662920,0.641752,0.662920,0.254714,999200
1980-07-10,0.662920,0.684537,0.652111,0.680934,0.261636,1356400
1980-07-11,0.680934,0.691742,0.680934,0.691742,0.265788,374700
1980-07-14,0.691742,0.691742,0.684537,0.688139,0.264404,176800
1980-07-15,0.688139,0.702551,0.684537,0.691742,0.265788,960900
1980-07-16,0.691742,0.691742,0.680934,0.680934,0.261636,62400
1980-07-17,0.680934,0.684537,0.680934,0.684537,0.263020,166500
1980-07-18,0.684537,0.702551,0.677331,0.702551,0.269942,388500
1980-07-21,0.699398,0.699398,0.691742,0.695345,0.267173,104000
1980-07-22,0.695345,0.716962,0.691742,0.710206,0.272883,180400
1980-07-23,0.710206,0.720565,0.706154,0.706154,0.271326,239200
1980-07-24,0.706154,0.716962,0.706154,0.713359,0.274095,86600
1980-07-25,0.713359,0.713359,0.706154,0.706154,0.271326,235900
1980-07-28,0.706154,0.710206,0.702551,0.702551,0.269942,76300
1980-07-29,0.702551,0.710206,0.699398,0.699398,0.268730,69300
1980-07-30,0.706154,0.720565,0.706154,0.706154,0.271326,69300
1980-07-31,0.706154,0.713359,0.706154,0.706154,0.271326,83200
1980-08-01,0.706154,0.713359,0.706154,0.713359,0.274095,44900
1980-08-04,0.713359,0.731373,0.706154,0.724168,0.278248,246200
1980-08-05,0.724168,0.745785,0.724168,0.738579,0.283785,176800
1980-08-06,0.738579,0.749388,0.734976,0.749388,0.287938,149000
1980-08-07,0.752990,0.785865,0.752990,0.778210,0.299012,666100
1980-08-08,0.778210,0.803430,0.774607,0.796674,0.306107,333000
1980-08-11,0.796674,0.796674,0.789019,0.792621,0.304550,121300
1980-08-12,0.792621,0.807033,0.781813,0.792621,0.304550,277500
1980-08-13,0.796674,0.796674,0.796674,0.796674,0.306107,93500
1980-08-14,0.796674,0.807033,0.792621,0.799375,0.307144,190600
1980-08-15,0.817841,0.836305,0.817841,0.829099,0.318565,381600
1980-08-18,0.825047,0.825047,0.807033,0.821444,0.315624,409400
1980-08-19,0.821444,0.821444,0.810636,0.817841,0.314240,225300
