"","stock","clust"
"1","AAP",4
"2","ADM",4
"3","AFL",3
"4","ALK",6
"5","ALLE",3
"6","AMG",5
"7","APD",5
"8","APH",3
"9","ATVI",3
"10","AWK",3
"11","BBY",3
"12","BLL",3
"13","CA",3
"14","CB",3
"15","CBG",1
"16","CBOE",3
"17","CBS",6
"18","CERN",3
"19","CF",6
"20","CL",3
"21","CNC",3
"22","COL",3
"23","COST",1
"24","COTY",4
"25","CSCO",1
"26","CSX",1
"27","CTAS",3
"28","CVS",4
"29","DE",1
"30","DGX",1
"31","DLPH",3
"32","DPS",1
"33","DRI",1
"34","EBAY",3
"35","ED",3
"36","EMN",1
"37","EMR",1
"38","EQIX",3
"39","ETFC",5
"40","EXPD",1
"41","EXPE",3
"42","F",4
"43","FCX",6
"44","FLIR",1
"45","FOX",6
"46","FTV",3
"47","GRMN",1
"48","GT",2
"49","HAL",4
"50","HAS",1
"51","HBAN",6
"52","HCN",3
"53","HES",4
"54","HLT",4
"55","HOG",4
"56","HOLX",2
"57","HP",4
"58","HRB",3
"59","HSIC",1
"60","HST",6
"61","IBM",4
"62","ILMN",3
"63","INCY",1
"64","INFO",3
"65","IPG",2
"66","JBHT",6
"67","JWN",4
"68","KLAC",1
"69","KR",4
"70","LB",4
"71","LEG",2
"72","LKQ",5
"73","LNC",6
"74","LOW",1
"75","LUK",1
"76","LVLT",6
"77","MGM",3
"78","MKC",1
"79","MMM",3
"80","MPC",1
"81","NEM",5
"82","NRG",5
"83","NUE",6
"84","NVDA",3
"85","NWL",2
"86","O",4
"87","ORLY",4
"88","PBCT",6
"89","PCAR",6
"90","PFE",5
"91","PHM",3
"92","PLD",3
"93","PM",3
"94","PPG",1
"95","PWR",6
"96","PXD",4
"97","PYPL",3
"98","Q",3
"99","RE",1
"100","RHI",6
"101","SEE",4
"102","SLG",4
"103","SNA",4
"104","SNI",5
"105","SP500",1
"106","SRE",3
"107","STZ",3
"108","SYMC",1
"109","SYY",6
"110","TAP",4
"111","TEL",1
"112","TGT",4
"113","UA",4
"114","UDR",3
"115","UHS",2
"116","URI",6
"117","USB",6
"118","VMC",2
"119","VZ",4
"120","WDC",1
"121","WLTW",3
"122","WM",1
"123","WMB",2
"124","XRAY",2
